,pos,neu,neg
Milwaukee Bucks,0.123899561,0.701399252,0.174701187
Denver Nuggets,0.191455797,0.687967178,0.120577025
Boston Celtics,0.208450078,0.706629473,0.084920449
Memphis Grizzlies,0.147104934,0.745453824,0.107441242
Philadelphia 76ers,0.110925005,0.836576514,0.052498481
Sacramento Kings,0.226208932,0.610900465,0.162890603
Cleveland Cavaliers,0.110113691,0.854922962,0.034963347
Phoenix Suns,0.160986428,0.688081521,0.150932051
New York Knicks,0.275974187,0.613228644,0.110797169
LA Clippers,0.173057368,0.702716538,0.124226095
Brooklyn Nets,0.120363999,0.745144574,0.134491427
Golden State Warriors,0.104331613,0.675032856,0.220635531
Atlanta Hawks,0.147936102,0.731294009,0.120769889
LA Lakers,0.19419779,0.720842063,0.084960147
Miami Heat,0.124171286,0.652912727,0.222915987
Minnesota Timberwolves,0.102294208,0.764483886,0.133221906
